EVENT_ID,TIMESTAMP,LOCATION_LONG,LOCATION_LAT,CANONICAL_TAXONOMY,TAG_LOCAL_IDENTIFIER,ID_INDIVIDUAL_IDENTIFIER,STUDY_NAME,COUNTRY,POLYGON_8,POLYGON_6,T2M,RH2M,WS10M,PS,PRECTOTCORR,HIGH
1,6/15/2010 22:43,-58.030128,-23.326947,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414c5fffff,86a86414fffffff,-0.35,94.99,7.85,99.78,8.87,88
2,6/16/2010 2:52,-58.030643,-23.328427,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641413fffff,86a86414fffffff,-2.99,83.41,6.17,100.51,0.38,84
3,6/16/2010 22:36,-58.030472,-23.327311,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414c5fffff,86a86414fffffff,-2.99,83.41,6.17,100.51,0.38,88
4,6/17/2010 16:42,-58.027983,-23.309952,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414e3fffff,86a86414fffffff,0.11,89.72,12.72,99.81,6.94,86
5,6/17/2010 20:37,-58.027747,-23.310006,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414e3fffff,86a86414fffffff,0.11,89.72,12.72,99.81,6.94,84
6,6/18/2010 0:44,-58.02206,-23.297174,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414a1fffff,86a86414fffffff,-0.04,89.47,13.16,98.36,10.06,87
7,6/19/2010 1:37,-58.012147,-23.274697,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8640645fffff,86a864067ffffff,-1.27,88.63,10.54,97.84,2.74,84
8,6/19/2010 5:37,-58.004401,-23.273292,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8640669fffff,86a864067ffffff,-1.27,88.63,10.54,97.84,2.74,85
9,6/19/2010 18:37,-57.997148,-23.276092,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8640669fffff,86a864067ffffff,-1.27,88.63,10.54,97.84,2.74,87
10,6/19/2010 22:58,-57.993844,-23.273517,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a864066dfffff,86a864067ffffff,-1.27,88.63,10.54,97.84,2.74,87
11,6/20/2010 2:47,-57.990496,-23.269268,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8640665fffff,86a864067ffffff,-3.98,88.15,12.78,98.23,1.2,83
12,6/20/2010 7:47,-57.991054,-23.282669,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86415bbfffff,86a86415fffffff,-3.98,88.15,12.78,98.23,1.2,85
13,6/20/2010 22:43,-57.981784,-23.274719,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86415b3fffff,86a86415fffffff,-3.98,88.15,12.78,98.23,1.2,88
14,6/21/2010 8:47,-58.014636,-23.264548,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a864060dfffff,86a864067ffffff,-4.78,88.88,9.78,98.8,0.76,92
17,6/23/2010 11:55,-58.03751,-23.290286,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414bdfffff,86a86414fffffff,-4.22,89.34,8.02,100.05,0.87,89
18,6/23/2010 15:48,-58.037639,-23.290694,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414bdfffff,86a86414fffffff,-4.22,89.34,8.02,100.05,0.87,89
19,6/24/2010 1:00,-58.037531,-23.290651,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414bdfffff,86a86414fffffff,-1.84,87.41,7.01,100.56,1.21,89
20,6/24/2010 22:39,-58.036158,-23.294009,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641487fffff,86a86414fffffff,-1.84,87.41,7.01,100.56,1.21,82
21,6/25/2010 11:41,-58.025687,-23.29079,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414a3fffff,86a86414fffffff,0.17,96.8,8.64,98.1,15.3,82
22,6/25/2010 20:49,-58.020644,-23.295693,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414a1fffff,86a86414fffffff,0.17,96.8,8.64,98.1,15.3,84
23,6/26/2010 0:41,-58.037725,-23.290501,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414bdfffff,86a86414fffffff,-0.55,92.89,8.25,96.97,1.76,89
25,6/26/2010 20:50,-58.046157,-23.254806,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8640653fffff,86a864067ffffff,-0.55,92.89,8.25,96.97,1.76,93
26,6/27/2010 5:52,-58.034463,-23.317119,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414c7fffff,86a86414fffffff,-4.81,83.29,6.5,99.9,0.38,87
27,6/27/2010 9:42,-58.032103,-23.317312,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414ebfffff,86a86414fffffff,-4.81,83.29,6.5,99.9,0.38,86
28,6/27/2010 13:49,-58.031802,-23.317022,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414ebfffff,86a86414fffffff,-4.81,83.29,6.5,99.9,0.38,86
29,6/27/2010 23:50,-58.042059,-23.320359,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414c3fffff,86a86414fffffff,-4.81,83.29,6.5,99.9,0.38,82
30,6/28/2010 8:43,-58.108835,-23.340122,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a864b9a3fffff,86a864b9fffffff,-2.2,85.54,7.15,99.54,4.33,88
31,6/28/2010 16:43,-58.108921,-23.340143,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a864b9a3fffff,86a864b9fffffff,-2.2,85.54,7.15,99.54,4.33,88
32,6/28/2010 20:51,-58.109221,-23.340143,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a864b9a3fffff,86a864b9fffffff,-2.2,85.54,7.15,99.54,4.33,92
34,6/29/2010 5:04,-58.088708,-23.282626,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a864a94bfffff,86a864a97ffffff,-0.29,91.2,7.33,97.64,2.78,85
35,6/29/2010 9:58,-58.037789,-23.290533,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414bdfffff,86a86414fffffff,-0.29,91.2,7.33,97.64,2.78,89
36,6/30/2010 14:49,-58.007469,-23.296316,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414a5fffff,86a86415fffffff,-0.25,90.33,11.18,95.93,5.87,84
37,6/30/2010 18:52,-58.006804,-23.296005,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414a5fffff,86a86415fffffff,-0.25,90.33,11.18,95.93,5.87,84
38,7/1/2010 8:57,-58.002727,-23.295372,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641599fffff,86a86415fffffff,-1.02,89.08,13.82,95.39,3,83
39,7/1/2010 12:51,-58.008113,-23.296434,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414a5fffff,86a86415fffffff,-1.02,89.08,13.82,95.39,3,85
40,7/1/2010 20:43,-58.006332,-23.295586,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641599fffff,86a86415fffffff,-1.02,89.08,13.82,95.39,3,87
43,7/2/2010 14:58,-58.002813,-23.295286,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641599fffff,86a86415fffffff,-2.2,83.33,11.31,97.92,1.27,83
44,7/2/2010 18:52,-58.003778,-23.295071,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641599fffff,86a86415fffffff,-2.2,83.33,11.31,97.92,1.27,84
45,7/3/2010 8:52,-57.999144,-23.290479,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641591fffff,86a86415fffffff,-5.69,93,11.67,99.63,3.88,84
46,7/3/2010 21:46,-57.980218,-23.290951,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86415b9fffff,86a86415fffffff,-5.69,93,11.67,99.63,3.88,83
47,7/4/2010 15:53,-57.980325,-23.293065,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641587fffff,86a86415fffffff,-1.55,92.08,11.84,98.31,5.23,86
49,7/5/2010 12:04,-57.974553,-23.30388,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a864158dfffff,86a86415fffffff,-5.91,82.15,3.67,99.72,1.59,85
50,7/6/2010 13:00,-57.975583,-23.303504,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a864158dfffff,86a86415fffffff,-4.84,88.42,7.47,99.02,2,91
51,7/6/2010 16:54,-57.975369,-23.303332,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a864158dfffff,86a86415fffffff,-4.84,88.42,7.47,99.02,2,92
52,7/7/2010 18:02,-57.973652,-23.303472,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641585fffff,86a86415fffffff,-8.45,97.11,12.26,99.74,1.39,81
53,7/8/2010 22:47,-57.969875,-23.304995,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86415e3fffff,86a86415fffffff,-6.3,95.1,11.94,101.51,0.4,83
54,7/9/2010 3:48,-57.967193,-23.300532,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641585fffff,86a86415fffffff,-1.87,83.03,9.38,101.65,1.09,89
55,7/9/2010 7:55,-57.967021,-23.300339,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641585fffff,86a86415fffffff,-1.87,83.03,9.38,101.65,1.09,89
56,7/9/2010 21:49,-57.97672,-23.287861,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86415bdfffff,86a86415fffffff,-1.87,83.03,9.38,101.65,1.09,83
57,7/10/2010 2:04,-57.965541,-23.280019,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8640749fffff,86a86415fffffff,-1.9,85.02,6.6,100.49,1.23,85
58,7/10/2010 9:49,-57.965713,-23.280115,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8640749fffff,86a86415fffffff,-1.9,85.02,6.6,100.49,1.23,85
61,7/10/2010 22:49,-57.959447,-23.285372,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86415a7fffff,86a86415fffffff,-1.9,85.02,6.6,100.49,1.23,84
62,7/11/2010 22:00,-57.961957,-23.287604,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86415a3fffff,86a86415fffffff,-1.84,85.46,7.09,99.24,1.85,86
63,7/12/2010 7:56,-57.960241,-23.288891,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86415a1fffff,86a86415fffffff,-1.61,82.59,9.24,99.8,1.28,83
64,7/13/2010 0:56,-57.93668,-23.288172,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8640291fffff,86a86402fffffff,-0.97,87.24,8.22,98.72,4.6,86
65,7/13/2010 18:51,-57.927024,-23.283302,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8640295fffff,86a86402fffffff,-0.97,87.24,8.22,98.72,4.6,83
66,7/13/2010 22:56,-57.920823,-23.282272,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86402b9fffff,86a86402fffffff,-0.97,87.24,8.22,98.72,4.6,86
70,7/14/2010 20:01,-57.959576,-23.312988,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86415e1fffff,86a86415fffffff,-1.49,84.12,11.25,99.05,0.35,89
71,7/15/2010 14:59,-57.980347,-23.290361,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86415b9fffff,86a86415fffffff,-4.5,86.04,8.66,100.35,0.32,88
72,7/15/2010 18:51,-57.979639,-23.29181,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641587fffff,86a86415fffffff,-4.5,86.04,8.66,100.35,0.32,83
73,7/15/2010 23:01,-57.979853,-23.29314,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641587fffff,86a86415fffffff,-4.5,86.04,8.66,100.35,0.32,82
74,7/16/2010 3:16,-57.97966,-23.291713,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641587fffff,86a86415fffffff,-5.02,91.45,14.16,99.21,5.49,83
75,7/16/2010 6:58,-57.979682,-23.29181,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641587fffff,86a86415fffffff,-5.02,91.45,14.16,99.21,5.49,83
76,7/16/2010 10:57,-57.979724,-23.291852,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641587fffff,86a86415fffffff,-5.02,91.45,14.16,99.21,5.49,83
77,7/16/2010 14:59,-57.979746,-23.292185,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641587fffff,86a86415fffffff,-5.02,91.45,14.16,99.21,5.49,83
78,7/16/2010 19:07,-57.989466,-23.283956,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86415bbfffff,86a86415fffffff,-5.02,91.45,14.16,99.21,5.49,83
79,7/18/2010 7:00,-58.004894,-23.283495,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641593fffff,86a86415fffffff,-2.72,84.82,11.01,99.47,1.41,88
80,7/18/2010 11:02,-58.004916,-23.283066,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641593fffff,86a86415fffffff,-2.72,84.82,11.01,99.47,1.41,87
81,7/18/2010 14:54,-58.005238,-23.283538,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641593fffff,86a86415fffffff,-2.72,84.82,11.01,99.47,1.41,90
82,7/19/2010 0:10,-58.004787,-23.283495,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641593fffff,86a86415fffffff,-1.39,95.04,11.04,99.38,4.66,88
83,7/19/2010 19:18,-58.00483,-23.283441,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641593fffff,86a86415fffffff,-1.39,95.04,11.04,99.38,4.66,88
84,7/20/2010 16:54,-58.00483,-23.283398,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641593fffff,86a86415fffffff,-1.08,90.17,16.25,98.27,4.26,88
85,7/20/2010 22:12,-58.004615,-23.283334,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641593fffff,86a86415fffffff,-1.08,90.17,16.25,98.27,4.26,88
86,7/21/2010 10:56,-58.004851,-23.283548,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641593fffff,86a86415fffffff,-5.12,92.96,14.72,99.78,1.54,88
87,7/21/2010 15:13,-58.004959,-23.283495,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641593fffff,86a86415fffffff,-5.12,92.96,14.72,99.78,1.54,88
88,7/22/2010 0:01,-58.006225,-23.296723,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641599fffff,86a86415fffffff,-2.49,84.21,9.08,99.84,0.71,87
89,7/22/2010 10:03,-58.006611,-23.294985,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641599fffff,86a86415fffffff,-2.49,84.21,9.08,99.84,0.71,90
90,7/22/2010 20:03,-58.024077,-23.294846,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414a1fffff,86a86414fffffff,-2.49,84.21,9.08,99.84,0.71,84
91,7/23/2010 0:15,-58.005109,-23.287239,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a864159bfffff,86a86415fffffff,-2.48,88.36,11.34,98.42,1.86,87
92,7/23/2010 15:11,-57.961936,-23.285984,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86415a3fffff,86a86415fffffff,-2.48,88.36,11.34,98.42,1.86,85
93,7/23/2010 19:05,-57.961464,-23.28652,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86415a3fffff,86a86415fffffff,-2.48,88.36,11.34,98.42,1.86,87
94,7/24/2010 16:57,-57.917283,-23.260621,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86400d1fffff,86a86400fffffff,-7.15,90.15,14.6,99.31,1.4,90
95,7/25/2010 21:19,-57.998071,-23.252971,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8640629fffff,86a864067ffffff,-2.05,89.6,13.95,99.64,2.02,89
96,7/26/2010 2:18,-57.997427,-23.254055,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8640629fffff,86a864067ffffff,-1.64,93.3,13.03,100.38,1.88,91
97,7/26/2010 5:57,-57.997599,-23.254344,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8640629fffff,86a864067ffffff,-1.64,93.3,13.03,100.38,1.88,88
98,7/26/2010 16:07,-57.996418,-23.254774,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8640629fffff,86a864067ffffff,-1.64,93.3,13.03,100.38,1.88,88
99,7/27/2010 15:11,-58.001568,-23.254119,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8640629fffff,86a864067ffffff,-0.72,96.1,9.06,100.01,4.62,84
101,7/29/2010 2:08,-57.991655,-23.281285,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86415bbfffff,86a86415fffffff,-2.1,87.86,14.69,98,1.84,86
102,7/29/2010 6:59,-57.997298,-23.284653,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641597fffff,86a86415fffffff,-2.1,87.86,14.69,98,1.84,84
103,7/29/2010 12:00,-57.999079,-23.289846,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641591fffff,86a86415fffffff,-2.1,87.86,14.69,98,1.84,85
107,7/30/2010 14:14,-57.989981,-23.286799,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641595fffff,86a86415fffffff,-3.71,81.66,17.57,98.61,3.82,86
108,7/30/2010 18:09,-57.989938,-23.286949,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641595fffff,86a86415fffffff,-3.71,81.66,17.57,98.61,3.82,86
109,7/30/2010 21:59,-57.98996,-23.286778,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641595fffff,86a86415fffffff,-3.71,81.66,17.57,98.61,3.82,86
110,7/31/2010 2:01,-57.98996,-23.286756,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641595fffff,86a86415fffffff,-7.94,90.71,10.93,99.29,2.47,86
111,7/31/2010 6:01,-57.989187,-23.286746,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641595fffff,86a86415fffffff,-7.94,90.71,10.93,99.29,2.47,86
112,7/31/2010 19:00,-57.988801,-23.287078,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641595fffff,86a86415fffffff,-7.94,90.71,10.93,99.29,2.47,84
113,7/31/2010 23:01,-58.006225,-23.277358,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8640645fffff,86a864067ffffff,-7.94,90.71,10.93,99.29,2.47,90
114,8/1/2010 3:01,-58.006504,-23.278452,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641593fffff,86a864067ffffff,-6.74,93.24,11.64,98.58,1.89,88
115,8/1/2010 7:02,-58.006418,-23.278388,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641593fffff,86a864067ffffff,-6.74,93.24,11.64,98.58,1.89,88
116,8/1/2010 22:09,-58.007963,-23.293376,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414a5fffff,86a86415fffffff,-6.74,93.24,11.64,98.58,1.89,88
117,8/2/2010 2:08,-58.00056,-23.283656,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641593fffff,86a86415fffffff,-5.69,89.11,12.57,98.52,0.68,84
118,8/2/2010 6:27,-58.00056,-23.283613,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641593fffff,86a86415fffffff,-5.69,89.11,12.57,98.52,0.68,84
119,8/2/2010 11:07,-57.997684,-23.286628,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641591fffff,86a86415fffffff,-5.69,89.11,12.57,98.52,0.68,83
120,8/2/2010 16:10,-57.999187,-23.290222,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641591fffff,86a86415fffffff,-5.69,89.11,12.57,98.52,0.68,85
121,8/2/2010 20:02,-57.999251,-23.290104,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641591fffff,86a86415fffffff,-5.69,89.11,12.57,98.52,0.68,85
122,8/3/2010 5:10,-58.007426,-23.29667,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414a5fffff,86a86415fffffff,-7.55,95.84,8.34,100.21,0.22,88
123,8/3/2010 14:10,-58.014293,-23.293902,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414a5fffff,86a86414fffffff,-7.55,95.84,8.34,100.21,0.22,87
124,8/3/2010 18:02,-58.02146,-23.299824,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414a9fffff,86a86414fffffff,-7.55,95.84,8.34,100.21,0.22,85
125,8/4/2010 3:16,-58.033433,-23.309501,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a864148dfffff,86a86414fffffff,-2.67,92.69,12.21,98.37,4.94,84
126,8/4/2010 7:12,-58.033304,-23.309437,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a864148dfffff,86a86414fffffff,-2.67,92.69,12.21,98.37,4.94,83
127,8/4/2010 12:04,-58.031158,-23.314973,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414ebfffff,86a86414fffffff,-2.67,92.69,12.21,98.37,4.94,88
128,8/5/2010 1:19,-58.012941,-23.295608,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414a5fffff,86a86414fffffff,-7.73,93.7,15.54,97.96,1.48,84
129,8/5/2010 6:10,-58.012898,-23.295575,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414a5fffff,86a86414fffffff,-7.73,93.7,15.54,97.96,1.48,84
130,8/5/2010 19:03,-58.002191,-23.296444,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641599fffff,86a86415fffffff,-7.73,93.7,15.54,97.96,1.48,86
131,8/6/2010 0:05,-58.000023,-23.298408,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641599fffff,86a86415fffffff,-11.59,99.91,17.23,99.47,1.16,84
132,8/6/2010 4:05,-58.000045,-23.298429,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641599fffff,86a86415fffffff,-11.59,99.91,17.23,99.47,1.16,84
133,8/6/2010 8:04,-58.000066,-23.298279,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641599fffff,86a86415fffffff,-11.59,99.91,17.23,99.47,1.16,88
135,8/6/2010 21:27,-58.000517,-23.293537,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641599fffff,86a86415fffffff,-11.59,99.91,17.23,99.47,1.16,84
136,8/7/2010 16:13,-57.979875,-23.299448,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641581fffff,86a86415fffffff,-3.23,97.17,9.82,100.18,2.42,82
137,8/8/2010 0:04,-57.969468,-23.302056,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641585fffff,86a86415fffffff,-0.33,97.13,9.88,99.64,3.35,81
138,8/8/2010 4:05,-57.98408,-23.308192,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641589fffff,86a86415fffffff,-0.33,97.13,9.88,99.64,3.35,83
139,8/8/2010 22:29,-57.975733,-23.306733,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a864158dfffff,86a86415fffffff,-0.33,97.13,9.88,99.64,3.35,84
140,8/9/2010 2:05,-57.970476,-23.298429,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641585fffff,86a86415fffffff,-2.71,91.47,7,99.42,0.75,85
143,8/9/2010 18:22,-57.972965,-23.298301,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641585fffff,86a86415fffffff,-2.71,91.47,7,99.42,0.75,82
145,8/10/2010 2:16,-57.972944,-23.298343,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641585fffff,86a86415fffffff,-1.9,91.21,5.83,99.36,1.72,82
146,8/10/2010 11:13,-57.976527,-23.296069,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641587fffff,86a86415fffffff,-1.9,91.21,5.83,99.36,1.72,85
147,8/10/2010 20:07,-57.97554,-23.297335,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641587fffff,86a86415fffffff,-1.9,91.21,5.83,99.36,1.72,86
148,8/11/2010 0:13,-57.976098,-23.297271,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641587fffff,86a86415fffffff,-1.51,92.05,8.63,99.02,1.61,88
149,8/11/2010 4:20,-57.976248,-23.297271,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641587fffff,86a86415fffffff,-1.51,92.05,8.63,99.02,1.61,88
150,8/11/2010 8:13,-57.973287,-23.298075,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641585fffff,86a86415fffffff,-1.51,92.05,8.63,99.02,1.61,82
151,8/12/2010 1:22,-57.976935,-23.294213,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641587fffff,86a86415fffffff,-1.08,92.62,13.19,97.46,7.18,84
152,8/12/2010 9:22,-57.976978,-23.294363,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641587fffff,86a86415fffffff,-1.08,92.62,13.19,97.46,7.18,84
153,8/12/2010 17:07,-57.984746,-23.289707,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86415b9fffff,86a86415fffffff,-1.08,92.62,13.19,97.46,7.18,83
154,8/12/2010 22:07,-57.98569,-23.287261,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86415b9fffff,86a86415fffffff,-1.08,92.62,13.19,97.46,7.18,84
155,8/13/2010 3:21,-57.988136,-23.28637,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641595fffff,86a86415fffffff,-10.66,96.91,14.66,97.42,1.28,88
156,8/13/2010 13:15,-57.988007,-23.286209,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641595fffff,86a86415fffffff,-10.66,96.91,14.66,97.42,1.28,88
157,8/13/2010 17:08,-58.000903,-23.293097,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641599fffff,86a86415fffffff,-10.66,96.91,14.66,97.42,1.28,89
158,8/14/2010 2:08,-58.024056,-23.295071,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414a1fffff,86a86414fffffff,-13.24,100,12.87,97.77,0.79,85
159,8/14/2010 6:09,-58.023798,-23.29491,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414a1fffff,86a86414fffffff,-13.24,100,12.87,97.77,0.79,84
160,8/14/2010 10:23,-58.023992,-23.294964,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414a1fffff,86a86414fffffff,-13.24,100,12.87,97.77,0.79,84
161,8/14/2010 23:18,-58.048754,-23.317956,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414c3fffff,86a86414fffffff,-13.24,100,12.87,97.77,0.79,82
162,8/15/2010 3:18,-58.057101,-23.317752,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414ddfffff,86a86414fffffff,-15.49,100,13.52,98.87,1.43,90
163,8/15/2010 11:19,-58.061929,-23.338459,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86416b9fffff,86a86416fffffff,-15.49,100,13.52,98.87,1.43,90
164,8/15/2010 16:09,-58.062165,-23.3401,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86416b9fffff,86a86416fffffff,-15.49,100,13.52,98.87,1.43,83
165,8/15/2010 20:16,-58.046629,-23.335197,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86416a3fffff,86a86416fffffff,-15.49,100,13.52,98.87,1.43,83
166,8/16/2010 5:09,-58.047316,-23.333652,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414c9fffff,86a86416fffffff,-5.56,98.51,9.38,99.39,4.68,83
167,8/16/2010 9:19,-58.047616,-23.333201,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414c9fffff,86a86416fffffff,-5.56,98.51,9.38,99.39,4.68,83
